Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-29,Sexual Assault Advocate,Alameda Health System,"Oakland, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,Victim & Family Advocate,Luzerne County Child Advocacy Center,"Wilkes-Barre, PA",14 days ago,$18–$21                                              Per Hour                                             Full-time                                             Actively Hiring,legal-jobs
2023-08-29,Advocate and PAIMI Advisory Council Facilitator,Disabilitiy Rights Ohio,"Columbus, OH",29 days ago,$22–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Resident Advocate - Charis House,The Fort Wayne Rescue Mission Ministries Inc,"Fort Wayne, IN",8 days ago,Actively Hiring,legal-jobs
2023-08-29,Head Start Family Advocate,"Connecticut Institute for Communities, Inc.","Norwalk, CT",6 days ago,Actively Hiring,legal-jobs
2023-08-29,Housing Stabilization Advocate,City of Cambridge,"Cambridge, MA",3 days ago,Actively Hiring,legal-jobs
2023-08-29,Mental Health Advocate (PACT) (067),"Catholic Charities, Diocese of Metuchen","New Brunswick, NJ",11 days ago,Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Sexual Assault Advocate,Alameda Health System,"Oakland, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Premier Customer Service Advocate - Atlanta, GA",UnitedHealth Group,"Atlanta, GA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,Community Connector (Central Nebraska),Molina Healthcare,"Minden, IA",Today,Actively Hiring,legal-jobs
2023-08-29,Victim & Family Advocate,Luzerne County Child Advocacy Center,"Wilkes-Barre, PA",14 days ago,$18–$21                                              Per Hour                                             Full-time                                             Actively Hiring,legal-jobs
2023-08-29,Advocate and PAIMI Advisory Council Facilitator,Disabilitiy Rights Ohio,"Columbus, OH",29 days ago,$22–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Resident Advocate - Charis House,The Fort Wayne Rescue Mission Ministries Inc,"Fort Wayne, IN",8 days ago,Actively Hiring,legal-jobs
2023-08-29,Head Start Family Advocate,"Connecticut Institute for Communities, Inc.","Norwalk, CT",6 days ago,Actively Hiring,legal-jobs
2023-08-29,Housing Stabilization Advocate,City of Cambridge,"Cambridge, MA",3 days ago,Actively Hiring,legal-jobs
2023-08-29,Mental Health Advocate (PACT) (067),"Catholic Charities, Diocese of Metuchen","New Brunswick, NJ",11 days ago,Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Sexual Assault Advocate,Alameda Health System,"Oakland, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Premier Customer Service Advocate - Atlanta, GA",UnitedHealth Group,"Atlanta, GA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Guest Advocate (Cashier), General Merchandise, Inbound (Stocking), Starbucks (T3410)",Target,"Scotts Valley, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,Victim & Family Advocate,Luzerne County Child Advocacy Center,"Wilkes-Barre, PA",14 days ago,$18–$21                                              Per Hour                                             Full-time                                             Actively Hiring,legal-jobs
2023-08-29,Advocate and PAIMI Advisory Council Facilitator,Disabilitiy Rights Ohio,"Columbus, OH",29 days ago,$22–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Resident Advocate - Charis House,The Fort Wayne Rescue Mission Ministries Inc,"Fort Wayne, IN",8 days ago,Actively Hiring,legal-jobs
2023-08-29,Head Start Family Advocate,"Connecticut Institute for Communities, Inc.","Norwalk, CT",6 days ago,Actively Hiring,legal-jobs
2023-08-29,Housing Stabilization Advocate,City of Cambridge,"Cambridge, MA",3 days ago,Actively Hiring,legal-jobs
2023-08-29,Mental Health Advocate (PACT) (067),"Catholic Charities, Diocese of Metuchen","New Brunswick, NJ",11 days ago,Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Sexual Assault Advocate,Alameda Health System,"Oakland, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Premier Customer Service Advocate - Atlanta, GA",UnitedHealth Group,"Atlanta, GA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Guest Advocate (Cashier), General Merchandise, Inbound (Stocking), Starbucks (T3410)",Target,"Scotts Valley, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,Victim & Family Advocate,Luzerne County Child Advocacy Center,"Wilkes-Barre, PA",14 days ago,$18–$21                                              Per Hour                                             Full-time                                             Actively Hiring,legal-jobs
2023-08-29,Advocate and PAIMI Advisory Council Facilitator,Disabilitiy Rights Ohio,"Columbus, OH",29 days ago,$22–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Resident Advocate - Charis House,The Fort Wayne Rescue Mission Ministries Inc,"Fort Wayne, IN",8 days ago,Actively Hiring,legal-jobs
2023-08-29,Head Start Family Advocate,"Connecticut Institute for Communities, Inc.","Norwalk, CT",6 days ago,Actively Hiring,legal-jobs
2023-08-29,Housing Stabilization Advocate,City of Cambridge,"Cambridge, MA",3 days ago,Actively Hiring,legal-jobs
2023-08-29,Mental Health Advocate (PACT) (067),"Catholic Charities, Diocese of Metuchen","New Brunswick, NJ",11 days ago,Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Sexual Assault Advocate,Alameda Health System,"Oakland, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Premier Customer Service Advocate - Atlanta, GA",UnitedHealth Group,"Atlanta, GA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Guest Advocate (Cashier), General Merchandise, Inbound (Stocking), Starbucks (T3410)",Target,"Scotts Valley, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,Victim & Family Advocate,Luzerne County Child Advocacy Center,"Wilkes-Barre, PA",14 days ago,$18–$21                                              Per Hour                                             Full-time                                             Actively Hiring,legal-jobs
2023-08-29,Advocate and PAIMI Advisory Council Facilitator,Disabilitiy Rights Ohio,"Columbus, OH",29 days ago,$22–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Resident Advocate - Charis House,The Fort Wayne Rescue Mission Ministries Inc,"Fort Wayne, IN",8 days ago,Actively Hiring,legal-jobs
2023-08-29,Head Start Family Advocate,"Connecticut Institute for Communities, Inc.","Norwalk, CT",6 days ago,Actively Hiring,legal-jobs
2023-08-29,Housing Stabilization Advocate,City of Cambridge,"Cambridge, MA",3 days ago,Actively Hiring,legal-jobs
2023-08-29,Mental Health Advocate (PACT) (067),"Catholic Charities, Diocese of Metuchen","New Brunswick, NJ",11 days ago,Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Sexual Assault Advocate,Alameda Health System,"Oakland, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Premier Customer Service Advocate - Atlanta, GA",UnitedHealth Group,"Atlanta, GA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,staff - Level I Registered Nurse (RN) - Med Surg - $32-52 per hour,Advocate Aurora Health,"Green Bay, WI",8 days ago,Actively Hiring,legal-jobs
2023-08-29,Victim & Family Advocate,Luzerne County Child Advocacy Center,"Wilkes-Barre, PA",14 days ago,$18–$21                                              Per Hour                                             Full-time                                             Actively Hiring,legal-jobs
2023-08-29,Advocate and PAIMI Advisory Council Facilitator,Disabilitiy Rights Ohio,"Columbus, OH",29 days ago,$22–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Resident Advocate - Charis House,The Fort Wayne Rescue Mission Ministries Inc,"Fort Wayne, IN",8 days ago,Actively Hiring,legal-jobs
2023-08-29,Head Start Family Advocate,"Connecticut Institute for Communities, Inc.","Norwalk, CT",6 days ago,Actively Hiring,legal-jobs
2023-08-29,Housing Stabilization Advocate,City of Cambridge,"Cambridge, MA",3 days ago,Actively Hiring,legal-jobs
2023-08-29,Mental Health Advocate (PACT) (067),"Catholic Charities, Diocese of Metuchen","New Brunswick, NJ",11 days ago,Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,Sexual Assault Advocate,Alameda Health System,"Oakland, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Premier Customer Service Advocate - Atlanta, GA",UnitedHealth Group,"Atlanta, GA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,"Guest Advocate (Cashier), General Merchandise, Inbound (Stocking), Starbucks (T3410)",Target,"Scotts Valley, CA",1 day ago,Actively Hiring,legal-jobs
2023-08-29,Victim & Family Advocate,Luzerne County Child Advocacy Center,"Wilkes-Barre, PA",14 days ago,$18–$21                                              Per Hour                                             Full-time                                             Actively Hiring,legal-jobs
2023-08-29,Advocate and PAIMI Advisory Council Facilitator,Disabilitiy Rights Ohio,"Columbus, OH",29 days ago,$22–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,legal-jobs
2023-08-29,"2020-2023 Undergraduates, Customer Relationship Advocate - Covington, KY",Fidelity Investments,"Lexington-Fayette, KY",1 day ago,Actively Hiring,legal-jobs
